username,groups,permission
admin,,depannage.delete_client
admin,,depannage.change_notification
admin,,admin.delete_logentry
admin,,depannage.change_message
admin,,depannage.add_requestdocument
admin,,depannage.change_review
admin,,depannage.change_conversation
admin,,depannage.view_loyaltyprogram
admin,,depannage.add_repairrequest
admin,,depannage.delete_notificationpreference
admin,,contenttypes.add_contenttype
admin,,sessions.add_session
admin,,depannage.change_loyaltyprogram
admin,,depannage.delete_rewardclaim
admin,,depannage.add_message
admin,,auth.delete_group
admin,,depannage.add_technicianlocation
admin,,auth.view_user
admin,,depannage.delete_reward
admin,,depannage.change_requestdocument
admin,,users.delete_user
admin,,depannage.view_cinetpaypayment
admin,,depannage.delete_technicianlocation
admin,,depannage.add_payment
admin,,admin.change_logentry
admin,,depannage.add_loyaltyprogram
admin,,depannage.change_payment
admin,,depannage.change_technician
admin,,depannage.view_technicianlocation
admin,,depannage.delete_systemconfiguration
admin,,depannage.add_reward
admin,,depannage.change_messageattachment
admin,,depannage.delete_technician
admin,,auth.add_user
admin,,auth.add_group
admin,,depannage.change_notificationpreference
admin,,admin.view_logentry
admin,,depannage.add_client
admin,,depannage.change_rewardclaim
admin,,depannage.delete_notification
admin,,depannage.view_messageattachment
admin,,auth.change_permission
admin,,depannage.view_payment
admin,,depannage.view_rewardclaim
admin,,depannage.view_technician
admin,,depannage.delete_message
admin,,auth.add_permission
admin,,depannage.view_conversation
admin,,contenttypes.change_contenttype
admin,,auth.delete_user
admin,,depannage.delete_review
admin,,contenttypes.delete_contenttype
admin,,depannage.add_review
admin,,users.view_user
admin,,depannage.add_notification
admin,,sessions.view_session
admin,,depannage.add_cinetpaypayment
admin,,depannage.add_messageattachment
admin,,depannage.view_message
admin,,depannage.change_cinetpaypayment
admin,,depannage.add_rewardclaim
admin,,depannage.delete_payment
admin,,depannage.view_systemconfiguration
admin,,auth.change_group
admin,,depannage.change_systemconfiguration
admin,,auth.view_permission
admin,,depannage.view_notification
admin,,depannage.delete_requestdocument
admin,,admin.add_logentry
admin,,depannage.change_client
admin,,users.add_user
admin,,depannage.view_repairrequest
admin,,auth.view_group
admin,,depannage.add_conversation
admin,,sessions.delete_session
admin,,sessions.change_session
admin,,depannage.delete_cinetpaypayment
admin,,depannage.change_reward
admin,,depannage.add_notificationpreference
admin,,auth.delete_permission
admin,,depannage.view_client
admin,,depannage.change_technicianlocation
admin,,depannage.view_notificationpreference
admin,,users.change_user
admin,,depannage.add_technician
admin,,depannage.view_requestdocument
admin,,depannage.delete_loyaltyprogram
admin,,contenttypes.view_contenttype
admin,,auth.change_user
admin,,depannage.view_reward
admin,,depannage.delete_messageattachment
admin,,depannage.add_systemconfiguration
admin,,depannage.change_repairrequest
admin,,depannage.delete_conversation
admin,,depannage.delete_repairrequest
admin,,depannage.view_review
client1,,
client2,,
client3,,
bech_tech,,depannage.add_notification
bech_tech,,depannage.change_notification
bech_tech,,depannage.view_client
bech_tech,,depannage.view_message
bech_tech,,depannage.add_requestdocument
bech_tech,,depannage.change_technicianlocation
bech_tech,,depannage.change_conversation
bech_tech,,depannage.view_requestdocument
bech_tech,,depannage.add_technicianlocation
bech_tech,,depannage.delete_notification
bech_tech,,depannage.view_reward
bech_tech,,depannage.change_requestdocument
bech_tech,,depannage.view_notification
bech_tech,,depannage.view_payment
bech_tech,,depannage.view_conversation
bech_tech,,depannage.delete_conversation
bech_tech,,depannage.view_review
bech_tech,,depannage.view_technicianlocation
bech_tech,,depannage.add_conversation
tech_electricien,,
tech_serrurier,,
tech_informatique,,
tech_climatisation,,
tech_electromenager,,
tech_mecanicien,,
amadou,,depannage.delete_client
amadou,,depannage.change_notification
amadou,,admin.delete_logentry
amadou,,depannage.change_message
amadou,,depannage.add_requestdocument
amadou,,depannage.change_review
amadou,,depannage.change_conversation
amadou,,depannage.view_loyaltyprogram
amadou,,depannage.add_repairrequest
amadou,,depannage.delete_notificationpreference
amadou,,contenttypes.add_contenttype
amadou,,sessions.add_session
amadou,,depannage.change_loyaltyprogram
amadou,,depannage.delete_rewardclaim
amadou,,depannage.add_message
amadou,,auth.delete_group
amadou,,depannage.add_technicianlocation
amadou,,auth.view_user
amadou,,depannage.delete_reward
amadou,,depannage.change_requestdocument
amadou,,users.delete_user
amadou,,depannage.view_cinetpaypayment
amadou,,depannage.delete_technicianlocation
amadou,,depannage.add_payment
amadou,,admin.change_logentry
amadou,,depannage.add_loyaltyprogram
amadou,,depannage.change_payment
amadou,,depannage.change_technician
amadou,,depannage.view_technicianlocation
amadou,,depannage.delete_systemconfiguration
amadou,,depannage.add_reward
amadou,,depannage.change_messageattachment
amadou,,depannage.delete_technician
amadou,,auth.add_user
amadou,,auth.add_group
amadou,,depannage.change_notificationpreference
amadou,,admin.view_logentry
amadou,,depannage.add_client
amadou,,depannage.change_rewardclaim
amadou,,depannage.delete_notification
amadou,,depannage.view_messageattachment
amadou,,auth.change_permission
amadou,,depannage.view_payment
amadou,,depannage.view_rewardclaim
amadou,,depannage.view_technician
amadou,,depannage.delete_message
amadou,,auth.add_permission
amadou,,depannage.view_conversation
amadou,,contenttypes.change_contenttype
amadou,,auth.delete_user
amadou,,depannage.delete_review
amadou,,contenttypes.delete_contenttype
amadou,,depannage.add_review
amadou,,users.view_user
amadou,,depannage.add_notification
amadou,,sessions.view_session
amadou,,depannage.add_cinetpaypayment
amadou,,depannage.add_messageattachment
amadou,,depannage.view_message
amadou,,depannage.change_cinetpaypayment
amadou,,depannage.add_rewardclaim
amadou,,depannage.delete_payment
amadou,,depannage.view_systemconfiguration
amadou,,auth.change_group
amadou,,depannage.change_systemconfiguration
amadou,,auth.view_permission
amadou,,depannage.view_notification
amadou,,depannage.delete_requestdocument
amadou,,admin.add_logentry
amadou,,depannage.change_client
amadou,,users.add_user
amadou,,depannage.view_repairrequest
amadou,,auth.view_group
amadou,,depannage.add_conversation
amadou,,sessions.delete_session
amadou,,sessions.change_session
amadou,,depannage.delete_cinetpaypayment
amadou,,depannage.change_reward
amadou,,depannage.add_notificationpreference
amadou,,auth.delete_permission
amadou,,depannage.view_client
amadou,,depannage.change_technicianlocation
amadou,,depannage.view_notificationpreference
amadou,,users.change_user
amadou,,depannage.add_technician
amadou,,depannage.view_requestdocument
amadou,,depannage.delete_loyaltyprogram
amadou,,contenttypes.view_contenttype
amadou,,auth.change_user
amadou,,depannage.view_reward
amadou,,depannage.delete_messageattachment
amadou,,depannage.add_systemconfiguration
amadou,,depannage.change_repairrequest
amadou,,depannage.delete_conversation
amadou,,depannage.delete_repairrequest
amadou,,depannage.view_review
BechirTech,,
farotaclient,,
depan_use,,depannage.delete_client
depan_use,,depannage.change_notification
depan_use,,admin.delete_logentry
depan_use,,depannage.change_message
depan_use,,depannage.add_requestdocument
depan_use,,depannage.change_review
depan_use,,depannage.change_conversation
depan_use,,depannage.view_loyaltyprogram
depan_use,,depannage.add_repairrequest
depan_use,,depannage.delete_notificationpreference
depan_use,,contenttypes.add_contenttype
depan_use,,sessions.add_session
depan_use,,depannage.change_loyaltyprogram
depan_use,,depannage.delete_rewardclaim
depan_use,,depannage.add_message
depan_use,,auth.delete_group
depan_use,,depannage.add_technicianlocation
depan_use,,auth.view_user
depan_use,,depannage.delete_reward
depan_use,,depannage.change_requestdocument
depan_use,,users.delete_user
depan_use,,depannage.view_cinetpaypayment
depan_use,,depannage.delete_technicianlocation
depan_use,,depannage.add_payment
depan_use,,admin.change_logentry
depan_use,,depannage.add_loyaltyprogram
depan_use,,depannage.change_payment
depan_use,,depannage.change_technician
depan_use,,depannage.view_technicianlocation
depan_use,,depannage.delete_systemconfiguration
depan_use,,depannage.add_reward
depan_use,,depannage.change_messageattachment
depan_use,,depannage.delete_technician
depan_use,,auth.add_user
depan_use,,auth.add_group
depan_use,,depannage.change_notificationpreference
depan_use,,admin.view_logentry
depan_use,,depannage.add_client
depan_use,,depannage.change_rewardclaim
depan_use,,depannage.delete_notification
depan_use,,depannage.view_messageattachment
depan_use,,auth.change_permission
depan_use,,depannage.view_payment
depan_use,,depannage.view_rewardclaim
depan_use,,depannage.view_technician
depan_use,,depannage.delete_message
depan_use,,auth.add_permission
depan_use,,depannage.view_conversation
depan_use,,contenttypes.change_contenttype
depan_use,,auth.delete_user
depan_use,,depannage.delete_review
depan_use,,contenttypes.delete_contenttype
depan_use,,depannage.add_review
depan_use,,users.view_user
depan_use,,depannage.add_notification
depan_use,,sessions.view_session
depan_use,,depannage.add_cinetpaypayment
depan_use,,depannage.add_messageattachment
depan_use,,depannage.view_message
depan_use,,depannage.change_cinetpaypayment
depan_use,,depannage.add_rewardclaim
depan_use,,depannage.delete_payment
depan_use,,depannage.view_systemconfiguration
depan_use,,auth.change_group
depan_use,,depannage.change_systemconfiguration
depan_use,,auth.view_permission
depan_use,,depannage.view_notification
depan_use,,depannage.delete_requestdocument
depan_use,,admin.add_logentry
depan_use,,depannage.change_client
depan_use,,users.add_user
depan_use,,depannage.view_repairrequest
depan_use,,auth.view_group
depan_use,,depannage.add_conversation
depan_use,,sessions.delete_session
depan_use,,sessions.change_session
depan_use,,depannage.delete_cinetpaypayment
depan_use,,depannage.change_reward
depan_use,,depannage.add_notificationpreference
depan_use,,auth.delete_permission
depan_use,,depannage.view_client
depan_use,,depannage.change_technicianlocation
depan_use,,depannage.view_notificationpreference
depan_use,,users.change_user
depan_use,,depannage.add_technician
depan_use,,depannage.view_requestdocument
depan_use,,depannage.delete_loyaltyprogram
depan_use,,contenttypes.view_contenttype
depan_use,,auth.change_user
depan_use,,depannage.view_reward
depan_use,,depannage.delete_messageattachment
depan_use,,depannage.add_systemconfiguration
depan_use,,depannage.change_repairrequest
depan_use,,depannage.delete_conversation
depan_use,,depannage.delete_repairrequest
depan_use,,depannage.view_review
testuser,,
Bechir,,
tech_electrician_1,,
tech_electrician_2,,
tech_electrician_3,,
tech_plumber_1,,
tech_plumber_2,,
tech_plumber_3,,
tech_mechanic_1,,
tech_mechanic_2,,
tech_mechanic_3,,
tech_it_1,,
tech_it_2,,
tech_it_3,,
tech_air_conditioning_1,,
tech_air_conditioning_2,,
tech_air_conditioning_3,,
tech_appliance_repair_1,,
tech_appliance_repair_2,,
tech_appliance_repair_3,,
tech_locksmith_1,,
tech_locksmith_2,,
tech_locksmith_3,Technicien,depannage.add_notification
tech_locksmith_3,Technicien,depannage.view_message
tech_locksmith_3,Technicien,depannage.add_messageattachment
tech_locksmith_3,Technicien,depannage.change_technicianlocation
tech_locksmith_3,Technicien,depannage.add_rewardclaim
tech_locksmith_3,Technicien,depannage.view_loyaltyprogram
tech_locksmith_3,Technicien,depannage.change_technician
tech_locksmith_3,Technicien,users.change_user
tech_locksmith_3,Technicien,depannage.add_message
tech_locksmith_3,Technicien,depannage.add_technicianlocation
tech_locksmith_3,Technicien,depannage.view_reward
tech_locksmith_3,Technicien,depannage.view_messageattachment
tech_locksmith_3,Technicien,depannage.view_notification
tech_locksmith_3,Technicien,depannage.view_payment
tech_locksmith_3,Technicien,depannage.view_technician
tech_locksmith_3,Technicien,depannage.change_repairrequest
tech_locksmith_3,Technicien,depannage.view_conversation
tech_locksmith_3,Technicien,depannage.view_repairrequest
tech_locksmith_3,Technicien,depannage.view_technicianlocation
tech_locksmith_3,Technicien,depannage.add_conversation
tech_other_1,,
tech_other_2,Technicien,depannage.add_notification
tech_other_2,Technicien,depannage.view_message
tech_other_2,Technicien,depannage.add_messageattachment
tech_other_2,Technicien,depannage.change_technicianlocation
tech_other_2,Technicien,depannage.add_rewardclaim
tech_other_2,Technicien,depannage.view_loyaltyprogram
tech_other_2,Technicien,depannage.change_technician
tech_other_2,Technicien,users.change_user
tech_other_2,Technicien,depannage.add_message
tech_other_2,Technicien,depannage.add_technicianlocation
tech_other_2,Technicien,depannage.view_reward
tech_other_2,Technicien,depannage.view_messageattachment
tech_other_2,Technicien,depannage.view_notification
tech_other_2,Technicien,depannage.view_payment
tech_other_2,Technicien,depannage.view_technician
tech_other_2,Technicien,depannage.change_repairrequest
tech_other_2,Technicien,depannage.view_conversation
tech_other_2,Technicien,depannage.view_repairrequest
tech_other_2,Technicien,depannage.view_technicianlocation
tech_other_2,Technicien,depannage.add_conversation
tech_other_3,Technicien,depannage.add_notification
tech_other_3,Technicien,depannage.view_message
tech_other_3,Technicien,depannage.add_messageattachment
tech_other_3,Technicien,depannage.change_technicianlocation
tech_other_3,Technicien,depannage.add_rewardclaim
tech_other_3,Technicien,depannage.view_loyaltyprogram
tech_other_3,Technicien,depannage.change_technician
tech_other_3,Technicien,users.change_user
tech_other_3,Technicien,depannage.add_message
tech_other_3,Technicien,depannage.add_technicianlocation
tech_other_3,Technicien,depannage.view_reward
tech_other_3,Technicien,depannage.view_messageattachment
tech_other_3,Technicien,depannage.view_notification
tech_other_3,Technicien,depannage.view_payment
tech_other_3,Technicien,depannage.view_technician
tech_other_3,Technicien,depannage.change_repairrequest
tech_other_3,Technicien,depannage.view_conversation
tech_other_3,Technicien,depannage.view_repairrequest
tech_other_3,Technicien,depannage.view_technicianlocation
tech_other_3,Technicien,depannage.add_conversation
